127.0.0.1 | 2026-04-16 19:52:30 | /index.html | 200
127.0.0.1 | 2026-04-16 19:52:30 | /test.png | 200
127.0.0.1 | 2026-04-16 20:15:04 | /index.html | 304
127.0.0.1 | 2026-04-16 20:18:24 | /index.html | 304
127.0.0.1 | 2026-04-16 20:23:51 | /index.html | 200
127.0.0.1 | 2026-04-16 20:23:51 | /index.html | 200
127.0.0.1 | 2026-04-16 20:23:51 | /index.html | 200
127.0.0.1 | 2026-04-16 20:35:40 | /index.html | 304
127.0.0.1 | 2026-04-16 20:44:00 | /index.html | 304
127.0.0.1 | 2026-04-16 20:49:09 | /index.html | 200
127.0.0.1 | 2026-04-16 20:49:11 | /index.html | 304
127.0.0.1 | 2026-04-16 20:52:23 | /index.html | 304
127.0.0.1 | 2026-04-16 20:52:35 | /index.html | 304
127.0.0.1 | 2026-04-16 20:54:28 | /index.html | 304
127.0.0.1 | 2026-04-16 20:54:31 | /index.html | 304
127.0.0.1 | 2026-04-16 20:57:43 | /index.html | 200
127.0.0.1 | 2026-04-16 20:57:45 | /index.html | 304
127.0.0.1 | 2026-04-16 21:02:27 | /index.html | 304
127.0.0.1 | 2026-04-16 21:02:42 | /test.txt | 200
127.0.0.1 | 2026-04-17 15:18:48 | /index.html | 200
127.0.0.1 | 2026-04-17 15:18:48 | /favicon.ico | 404
127.0.0.1 | 2026-04-17 15:20:03 | /test.png | 200
127.0.0.1 | 2026-04-17 15:20:35 | /test.txt | 200
127.0.0.1 | 2026-04-17 15:40:38 | /index.html | 200
127.0.0.1 | 2026-04-17 15:41:05 | /index.html | 200
127.0.0.1 | 2026-04-17 15:42:27 | /index.html | 200
127.0.0.1 | 2026-04-17 15:42:57 | /index.html | 200
127.0.0.1 | 2026-04-17 15:43:39 | /index.html | 200
127.0.0.1 | 2026-04-17 15:45:02 | /index.html | 200
127.0.0.1 | 2026-04-17 15:46:26 | /index.html | 304
127.0.0.1 | 2026-04-17 15:47:07 | /index.html | 200
127.0.0.1 | 2026-04-17 15:47:26 | /index.html | 200
127.0.0.1 | 2026-04-17 17:06:25 | /index.html | 400
127.0.0.1 | 2026-04-17 17:06:50 | /nonexistent.html | 404
